year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold,model
2018,Journal of Photochemistry and Photobiology B Biology,0.9524,0.4762,0.7878,1.0,node2vec
2018,Journal of Physics D Applied Physics,2.0909,1.2273,1.7303,1.0,node2vec
2018,Journal of Pineal Research,0.9545,0.4091,0.7121,1.0,node2vec
2018,Journal of Shoulder and Elbow Surgery,0.6552,0.2414,0.3637,1.0,node2vec
2018,Journal of Sports Sciences,0.9,0.4333,0.5977,1.0,node2vec
2018,Journal of Surgical Oncology,0.6,0.2,0.4705,1.0,node2vec
2018,Journal of Thoracic Oncology,1.5649,0.9695,1.3389,1.0,node2vec
2018,Journal of Thoracic and Cardiovascular Surgery,0.3731,0.1343,0.2377,1.0,node2vec
2018,Journal of Thrombosis and Haemostasis,0.4762,0.0476,0.3089,1.0,node2vec
2018,Journal of Translational Medicine,0.4865,0.1622,0.4099,1.0,node2vec
2018,Journal of Vascular Surgery,0.3636,0.0303,0.1661,1.0,node2vec
2018,Journal of Virology,0.9278,0.5052,0.7433,1.0,node2vec
2018,Journal of Visualized Experiments,0.1739,0.087,0.087,1.0,node2vec
2018,Journal of neurosurgery,0.4118,0.0706,0.2225,1.0,node2vec
2018,Journal of science and medicine in sport,0.4667,0.3333,0.4072,1.0,node2vec
2018,Journal of the American Academy of Dermatology,0.7895,0.3333,0.5877,1.0,node2vec
2018,Journal of the American Chemical Society,1.0625,0.5625,0.8241,1.0,node2vec
2018,Journal of the American College of Cardiology,1.5015,0.7286,1.187,1.0,node2vec
2018,Journal of the American College of Radiology,0.4783,0.1739,0.3063,1.0,node2vec
2018,Journal of the American College of Surgeons,0.7442,0.3721,0.5837,1.0,node2vec
2018,Journal of the American Geriatrics Society,0.6622,0.2432,0.4598,1.0,node2vec
2018,Journal of the American Heart Association,0.5745,0.1968,0.417,1.0,node2vec
2018,Journal of the American Medical Directors Association,0.9697,0.5303,0.7178,1.0,node2vec
2018,Journal of the American Society of Echocardiography,2.3,0.4,0.7756,1.0,node2vec
2018,Journal of the American Society of Nephrology,0.605,0.2605,0.4322,1.0,node2vec
2018,Journal of the European Academy of Dermatology and Venereology,0.6667,0.2,0.387,1.0,node2vec
2018,Journal of the International AIDS Society,0.6667,0.3,0.4901,1.0,node2vec
